Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000100852,ARHGAP5,Gene Expression,0.2758568948937623,0.0,0.0,50418,7.6863494969132296,5950
ENSG00000113369,ARRDC3,Gene Expression,0.2758153914188634,0.0,0.0,29936,5.673368893103837,5953
ENSG00000119801,YPEL5,Gene Expression,0.27580340660371455,0.0,0.0,79593,12.385768987350371,6065
ENSG00000064692,SNCAIP,Gene Expression,0.2757472399942436,0.0,0.0,24747,3.790972324099026,5584
ENSG00000118432,CNR1,Gene Expression,0.27569914755380354,0.0,0.0,2701,0.38964352486004755,1295
ENSG00000130164,LDLR,Gene Expression,0.2754772214899477,0.0,0.0,28605,4.853533747661891,5810
ENSG00000142694,EVA1B,Gene Expression,0.27521787064398107,0.0,0.0,4749,1.04743828400858,3116
ENSG00000151689,INPP1,Gene Expression,0.27518984792906964,0.0,0.0,66484,10.087890383731619,6011
ENSG00000172985,SH3RF3,Gene Expression,0.275162503008874,0.0,0.0,1242,0.3606822353499648,1037
ENSG00000168079,SCARA5,Gene Expression,0.2751122818492427,0.0,0.0,3357,0.9096185296061029,2255
ENSG00000124172,ATP5F1E,Gene Expression,0.2749903357172584,0.0,0.0,18483,3.4369046123889353,5573
ENSG00000156110,ADK,Gene Expression,0.2747942039278817,0.0,0.0,46189,7.18641452999694,5895
ENSG00000166037,CEP57,Gene Expression,0.2747145271063087,0.0,0.0,41863,6.428781647874114,5868
ENSG00000113578,FGF1,Gene Expression,0.2745288806509961,0.0,0.0,1081,0.30785793744477985,840
ENSG00000176438,SYNE3,Gene Expression,0.27450709766098114,0.0,0.0,1723,0.48538244740627906,1368
ENSG00000154319,FAM167A,Gene Expression,0.2744654130453353,0.0,0.0,19123,2.9097055823462283,5344
ENSG00000138660,AP1AR,Gene Expression,0.27436656467170506,0.0,0.0,31477,4.8880599074477455,5782
ENSG00000106153,CHCHD2,Gene Expression,0.2742426937151514,0.0,0.0,116120,18.131834396883946,6116
ENSG00000120686,UFM1,Gene Expression,0.27422984340918233,0.0,0.0,44806,7.083163438317388,5944
ENSG00000103335,PIEZO1,Gene Expression,0.27397324325626826,0.0,0.0,2715,0.6502653995682407,2006
ENSG00000088882,CPXM1,Gene Expression,0.2738361400445795,0.0,0.0,934,0.24936099672983944,725
ENSG00000137033,IL33,Gene Expression,0.2736825093408458,0.0,0.0,5059,1.1756704328520164,2829
ENSG00000203880,PCMTD2,Gene Expression,0.27339811100674594,0.0,0.0,64866,10.106083344844444,6008
ENSG00000081189,MEF2C,Gene Expression,0.27339621968748357,0.0,0.0,6090,1.3236138115294416,3577
ENSG00000101443,WFDC2,Gene Expression,0.27320919836506563,0.0,0.0,18816,3.2700658355827277,5273
ENSG00000114923,SLC4A3,Gene Expression,0.2731896492095599,0.0,0.0,28622,4.352203584664778,5681
ENSG00000023516,AKAP11,Gene Expression,0.27305895350508436,0.0,0.0,108831,16.752888715734045,6099
ENSG00000006125,AP2B1,Gene Expression,0.2730360182696351,0.0,0.0,25585,3.878898957561594,5628
ENSG00000140612,SEC11A,Gene Expression,0.2730145721068581,0.0,0.0,78596,12.481553508992553,6083
ENSG00000180628,PCGF5,Gene Expression,0.2730109729985362,0.0,0.0,65983,10.502319979916006,6051
ENSG00000147481,SNTG1,Gene Expression,0.27297007172088966,0.0,0.0,20072,3.0874964215240763,5408
ENSG00000128607,KLHDC10,Gene Expression,0.2728261994395377,0.0,0.0,46409,7.147492802403383,5923
ENSG00000164898,FMC1,Gene Expression,0.27278557975977835,0.0,0.0,44906,6.835687483107012,5890
ENSG00000103034,NDRG4,Gene Expression,0.27253355984772404,0.0,0.0,22071,3.255692447998626,5420
ENSG00000163689,C3orf67,Gene Expression,0.2725180297716087,0.0,0.0,16578,2.548257581108979,5240
ENSG00000184012,TMPRSS2,Gene Expression,0.27238907719574806,0.0,0.0,980,0.23637182321254668,653
ENSG00000102230,PCYT1B,Gene Expression,0.27200757845105666,0.0,0.0,1056,0.14120077977274592,608
ENSG00000047849,MAP4,Gene Expression,0.27200695355657817,0.0,0.0,79228,13.619512297655096,6148
ENSG00000044012,GUCA2B,Gene Expression,0.2719240541855647,0.0,0.0,2011,0.2852152340328327,1003
ENSG00000112782,CLIC5,Gene Expression,0.2718631636162713,0.0,0.0,1385,0.349799843866651,990
ENSG00000114054,PCCB,Gene Expression,0.271763046895486,0.0,0.0,38836,5.769390035027548,5808
ENSG00000168779,SHOX2,Gene Expression,0.27165648072438303,0.0,0.0,1412,0.2417940812810475,946
ENSG00000178033,CALHM5,Gene Expression,0.2715721089260872,0.0,0.0,1299,0.354590137603166,1077
ENSG00000139116,KIF21A,Gene Expression,0.2714842610505117,0.0,0.0,23196,3.526347729386851,5561
ENSG00000104687,GSR,Gene Expression,0.2714132223933422,0.0,0.0,48633,7.485396875555608,5931
